"","scaffold","scaffold_start","scaffold_end","count","target","species"
"2238","3_ascaris_lumbricoides",0,10000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2239","3_ascaris_lumbricoides",10000,20000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2240","3_ascaris_lumbricoides",20000,30000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2241","3_ascaris_lumbricoides",30000,40000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2242","3_ascaris_lumbricoides",40000,50000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2243","3_ascaris_lumbricoides",50000,60000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2244","3_ascaris_lumbricoides",60000,70000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2245","3_ascaris_lumbricoides",70000,80000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2246","3_ascaris_lumbricoides",80000,90000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2247","3_ascaris_lumbricoides",90000,100000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2248","3_ascaris_lumbricoides",100000,110000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2249","3_ascaris_lumbricoides",110000,120000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2250","3_ascaris_lumbricoides",120000,130000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2251","3_ascaris_lumbricoides",130000,140000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2252","3_ascaris_lumbricoides",140000,150000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2253","3_ascaris_lumbricoides",150000,160000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2254","3_ascaris_lumbricoides",160000,170000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2255","3_ascaris_lumbricoides",170000,180000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2256","3_ascaris_lumbricoides",180000,190000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2257","3_ascaris_lumbricoides",190000,200000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2258","3_ascaris_lumbricoides",200000,210000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2259","3_ascaris_lumbricoides",210000,220000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2260","3_ascaris_lumbricoides",220000,230000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2261","3_ascaris_lumbricoides",230000,240000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2262","3_ascaris_lumbricoides",240000,250000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2263","3_ascaris_lumbricoides",250000,260000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2264","3_ascaris_lumbricoides",260000,270000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2265","3_ascaris_lumbricoides",270000,280000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2266","3_ascaris_lumbricoides",280000,290000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2267","3_ascaris_lumbricoides",290000,300000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2268","3_ascaris_lumbricoides",300000,310000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2269","3_ascaris_lumbricoides",310000,320000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2270","3_ascaris_lumbricoides",320000,330000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2271","3_ascaris_lumbricoides",330000,340000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2272","3_ascaris_lumbricoides",340000,350000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2273","3_ascaris_lumbricoides",350000,360000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2274","3_ascaris_lumbricoides",360000,370000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2275","3_ascaris_lumbricoides",370000,380000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2276","3_ascaris_lumbricoides",380000,390000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2277","3_ascaris_lumbricoides",390000,400000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2278","3_ascaris_lumbricoides",400000,410000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2279","3_ascaris_lumbricoides",410000,420000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2280","3_ascaris_lumbricoides",420000,430000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2281","3_ascaris_lumbricoides",430000,440000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2282","3_ascaris_lumbricoides",440000,450000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2283","3_ascaris_lumbricoides",450000,460000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2284","3_ascaris_lumbricoides",460000,470000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2285","3_ascaris_lumbricoides",470000,480000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
"2286","3_ascaris_lumbricoides",480000,490000,0,"ascaris_germline_repeat","Ascaris_lumbricoides"
